dept,courseNumber,courseType,numberOfMeetings,meetingLengthHours,isTba,numberEnrolled,cantOverlap,shouldntOverlap,dataNumber,timeMinPweek
AA,AA 203,LEC,2,1.5,FALSE,103,,,1,160
AA,AA 204,LEC,2,1.5,FALSE,31,,,2,160
AA,AA 218,LEC,2,1.5,FALSE,18,,2,3,160
AA,AA 222,LEC,2,1.5,FALSE,83,,,4,160
AA,AA 252,LEC,1,3,FALSE,43,,,5,170
AA,AA 257,LEC,2,1.5,FALSE,4,,,6,160
AA,AA 273,LEC,2,1.5,FALSE,74,,1,7,160
AA,AA 279B,LEC,2,1.5,FALSE,23,,9,8,160
AA,AA 279D,LEC,3,1.5,FALSE,14,,,9,240
AA,AA 294,COL,1,1.5,FALSE,21,,,10,80
BIOE,BIOE 212,LEC,2,1.5,FALSE,2,,,11,160
BIOE,BIOE 256,LEC,1,2,FALSE,20,,,12,110
BIOE,BIOE 301C,LEC,1,2,FALSE,21,,,13,110
BIOE,BIOE 301C,LBS,2,2,FALSE,16,13,,14,220
BIOE,BIOE 313,LEC,2,1.5,FALSE,2,,,15,160
BIOE,BIOE 355,LEC,2,1.5,FALSE,7,,,16,160
BIOE,BIOE 374B,LEC,1,2,FALSE,10,,,17,110
BIOE,BIOE 374B,LEC,1,2,FALSE,10,17,,18,110
BIOE,BIOE 450,LEC,2,1.5,FALSE,48,,,19,160
BIOE,BIOE 459,LEC,2,1,FALSE,10,,,20,120
BIOE,BIOE 485,LEC,2,1.5,FALSE,7,,,21,160
CHEMENG,CHEMENG 260,LEC,3,1,FALSE,16,,,22,150
CHEMENG,CHEMENG 320,LEC,2,1.5,FALSE,27,,,23,160
CHEMENG,CHEMENG 355,LEC,2,1.5,FALSE,26,,,24,160
CHEMENG,CHEMENG 355,DIS,1,1.5,FALSE,17,24,,25,80
CHEMENG,CHEMENG 450,LEC,2,1.5,FALSE,16,,,26,160
CHEMENG,CHEMENG 459,LEC,2,1,FALSE,3,,,27,120
CHEMENG,CHEMENG 699,COL,1,2,FALSE,14,,,28,110
CME,CME 206,LEC,2,1.5,FALSE,26,,,29,160
CME,CME 216,LEC,3,1.5,FALSE,22,,,30,240
CME,CME 250,WKS,2,1.5,FALSE,33,,,31,160
CME,CME 251,LEC,2,1.5,FALSE,1,,31,32,-1260
CME,CME 298,LEC,2,1.5,FALSE,13,,,33,160
CME,CME 306,LEC,2,1.5,FALSE,23,,,34,160
CME,CME 308,LEC,3,1.5,FALSE,67,,34,35,240
CME,CME 323,LEC,2,1.5,FALSE,24,,,36,160
CME,CME 364B,LEC,2,1.5,FALSE,11,,1,37,160
CEE,CEE 207A,LEC,3,1.5,FALSE,28,,,38,240
CEE,CEE 214,LEC,2,1.5,FALSE,6,,,39,160
CEE,CEE 222B,LEC,1,3,FALSE,6,,,40,170
CEE,CEE 222B,LEC,1,1,FALSE,6,40,,41,50
CEE,CEE 223,LEC,2,1.5,FALSE,19,,,42,160
CEE,CEE 226E,LEC,2,1.5,FALSE,12,,,43,160
CEE,CEE 237B,,2,3,FALSE,0,,,44,340
CEE,CEE 241C,SEM,1,2,FALSE,63,,,45,110
CEE,CEE 246,LEC,1,3,FALSE,33,,,46,170
CEE,CEE 246B,LEC,2,1.5,FALSE,46,,,47,160
CEE,CEE 246S,SEM,1,1.5,FALSE,8,46,47,48,80
CEE,CEE 248,LEC,1,2,FALSE,23,,,49,110
CEE,CEE 257,SEM,1,1.5,FALSE,35,,,50,80
CEE,CEE 260D,LEC,2,1.5,FALSE,14,,,51,160
CEE,CEE 262E,LEC,3,1.5,FALSE,45,,,52,240
CEE,CEE 262G,LEC,2,2,FALSE,7,,,53,220
CEE,CEE 262H,LEC,2,2,FALSE,6,,,54,220
CEE,CEE 263S,SEM,1,1.5,FALSE,13,,,55,80
CEE,CEE 265H,LEC,2,1.5,FALSE,5,,,56,160
CEE,CEE 266C,LEC,2,1.5,FALSE,34,,,57,160
CEE,CEE 269C,SEM,1,1,FALSE,35,,,58,50
CEE,CEE 272R,LEC,2,2,FALSE,27,,,59,220
CEE,CEE 272T,SEM,1,1.5,FALSE,6,,,60,80
CEE,CEE 273B,LEC,1,2,FALSE,27,,,61,120
CEE,CEE 273M,LEC,1,3,FALSE,11,,,62,170
CEE,CEE 274D,LEC,2,1.5,FALSE,25,,,63,160
CEE,CEE 276B,LEC,2,1.5,FALSE,17,,,64,160
CEE,CEE 277A,,2,1.5,FALSE,0,,,65,160
CEE,CEE 277Q,LEC,2,2,FALSE,7,,,66,220
CEE,CEE 277S,SEM,2,1.5,FALSE,4,,,67,160
CEE,CEE 287,LEC,2,2,FALSE,26,,,68,220
CEE,CEE 290,LEC,1,2,FALSE,11,,,69,110
CEE,CEE 296,LEC,2,1.5,FALSE,14,,,70,160
CEE,CEE 297M,LEC,1,2,FALSE,11,,,71,110
CEE,CEE 301,SEM,1,1,FALSE,20,,,72,50
CEE,CEE 305,LEC,2,2,FALSE,24,,,73,220
CEE,CEE 312,LEC,3,1.5,FALSE,7,,,74,240
CEE,CEE 314,LEC,3,2,FALSE,9,,,75,330
CEE,CEE 323C,SEM,1,1,FALSE,20,,,76,50
CEE,CEE 324,LEC,1,2,FALSE,20,,,77,110
CEE,CEE 326,SEM,1,2,FALSE,2,,,78,110
CEE,CEE 363F,LEC,2,1.5,FALSE,11,,,79,160
DESINST,DESINST 215,WKS,2,2,FALSE,20,,,80,220
DESINST,DESINST 245,WKS,2,2,FALSE,11,,,81,220
DESINST,DESINST 250,WKS,1,3,FALSE,17,,,82,170
DESINST,DESINST 265,WKS,1,2,FALSE,24,,,83,110
DESINST,DESINST 285,WKS,2,3,FALSE,7,,,84,340
DESINST,DESINST 366,WKS,1,2,FALSE,12,,,85,110
ENGR,ENGR 202W,PRC,2,1.5,FALSE,11,,,86,160
ENGR,ENGR 203,,1,2.5,FALSE,0,,,87,150
ENGR,ENGR 203,PRA,1,2.5,FALSE,3,87,,88,150
ENGR,ENGR 203,PRA,1,2.5,FALSE,4,87,,89,150
ENGR,ENGR 203,PRA,1,2.5,FALSE,2,87,,90,150
ENGR,ENGR 203,PRA,1,2.5,FALSE,3,87,,91,150
ENGR,ENGR 209A,LEC,2,1.5,FALSE,24,,,92,160
ENGR,ENGR 277B,SEM,2,1.5,FALSE,1,,,93,160
ENGR,ENGR 295,SEM,2,1.5,FALSE,1,,,94,160
ENGR,ENGR 298,COL,1,1.5,FALSE,24,,,95,80
ENGR,ENGR 311B,SEM,1,2,FALSE,77,,,96,110
ENGR,ENGR 391,PRA,2,1.5,FALSE,5,,,97,160
CS,CS 129,LEC,1,1.5,FALSE,59,,,98,80
CS,CS 129,,1,1.5,FALSE,0,98,,99,80
CS,CS 129,,1,1.5,FALSE,0,98,,100,80
CS,CS 129,,1,1.5,FALSE,0,98,,101,80
CS,CS 129,,1,1.5,FALSE,0,98,,102,80
CS,CS 202,SEM,1,1.5,FALSE,82,,,103,80
CS,CS 210B,LEC,2,1.5,FALSE,61,,,104,160
CS,CS 221,LEC,2,1.5,FALSE,319,,,105,160
CS,CS 221,,1,1,FALSE,0,105,,106,50
CS,CS 224U,LEC,2,1.5,FALSE,243,,,107,160
CS,CS 225A,LEC,2,1.5,FALSE,23,,,108,160
CS,CS 229,LEC,2,1.5,FALSE,494,,,109,160
CS,CS 229,,1,1.5,FALSE,0,109,,110,80
CS,CS 229,,1,1.5,FALSE,0,109,,111,80
CS,CS 231N,LEC,2,1.5,FALSE,578,,,112,160
CS,CS 231N,,1,1,FALSE,0,112,,113,50
CS,CS 233,LEC,2,1.5,FALSE,41,,,114,160
CS,CS 235,LEC,2,1.5,FALSE,26,,,115,160
CS,CS 240,LEC,2,1.5,FALSE,42,,,116,160
CS,CS 240LX,LEC,2,3,FALSE,10,,116,117,340
CS,CS 241,LEC,1,1.5,FALSE,4,,,118,80
CS,CS 244,LEC,2,1.5,FALSE,42,,,119,160
CS,CS 244B,LEC,2,1.5,FALSE,65,,,120,160
CS,CS 247G,LEC,2,3,FALSE,72,,119,121,340
CS,CS 254B,LEC,2,1.5,FALSE,27,,,122,160
CS,CS 272,LEC,2,1.5,FALSE,2,,,123,160
CS,CS 275B,SEM,2,1.5,FALSE,1,,,124,160
CS,CS 294S,LEC,2,1.5,FALSE,7,,,125,160
CS,CS 298,SEM,1,1.5,FALSE,8,,,126,80
CS,CS 327A,LEC,2,1.5,FALSE,30,,,127,160
CS,CS 335,LEC,2,1.5,FALSE,14,,,128,160
CS,CS 348B,LEC,2,1.5,FALSE,33,,,129,160
CS,CS 348E,LEC,2,1.5,FALSE,19,,,130,160
CS,CS 348K,LEC,2,1.5,FALSE,23,,,131,160
CS,CS 350,LEC,2,1.5,FALSE,8,,,132,160
CS,CS 355,LEC,2,1.5,FALSE,32,,,133,160
CS,CS 360,LEC,2,2,FALSE,7,,,134,220
CS,CS 361,LEC,2,1.5,FALSE,38,,,135,160
CS,CS 368,LEC,2,1.5,FALSE,25,,,136,160
CS,CS 372,LEC,2,1.5,FALSE,7,,,137,160
CS,CS 377N,LEC,2,2,FALSE,5,,,138,220
CS,CS 377Q,LEC,2,1.5,FALSE,16,,,139,160
CS,CS 377U,LEC,2,1.5,FALSE,26,,138,140,160
CS,CS 379C,LEC,2,1.5,FALSE,22,,,141,160
CS,CS 384,SEM,1,2,FALSE,43,,,142,110
CS,CS 448P,LEC,2,1.5,FALSE,22,,,143,160
CS,CS 472,LEC,1,2,FALSE,58,,,144,110
CS,CS 520,SEM,1,2,FALSE,27,,,145,110
MATSCI,MATSCI 207,LEC,2,1.5,FALSE,36,,,146,160
MATSCI,MATSCI 207,LEC,1,1.5,FALSE,1,146,,147,80
MATSCI,MATSCI 208,LEC,2,1.5,FALSE,51,,,148,160
MATSCI,MATSCI 209,LEC,2,1.5,FALSE,62,,,149,160
MATSCI,MATSCI 210,LEC,2,1.5,FALSE,57,,,150,160
MATSCI,MATSCI 230,COL,1,1.5,FALSE,41,,,151,80
MATSCI,MATSCI 316,LEC,2,1.5,FALSE,50,,,152,160
MATSCI,MATSCI 341,LEC,2,2,FALSE,28,,,153,220
MATSCI,MATSCI 343,LEC,2,1.5,FALSE,12,,,154,160
MATSCI,MATSCI 380,LEC,2,1.5,FALSE,22,,,155,160
EE,EE 207,LEC,2,1.5,FALSE,11,,,156,160
EE,EE 236C,LEC,2,1.5,FALSE,22,,,157,160
EE,EE 237,LEC,2,1.5,FALSE,11,,,158,160
EE,EE 238,LEC,2,2,FALSE,5,,157,159,220
EE,EE 254,LEC,2,1.5,FALSE,16,,,160,160
EE,EE 267,LEC,2,1.5,FALSE,38,,,161,160
EE,EE 284A,LEC,2,1.5,FALSE,19,,,162,160
EE,EE 285,LEC,1,1.5,FALSE,1,,162,163,80
EE,EE 292A,LEC,2,2,FALSE,8,,,164,220
EE,EE 292C,LEC,1,1.5,FALSE,9,,,165,80
EE,EE 292D,LEC,1,3,FALSE,22,,,166,170
EE,EE 292E,SEM,1,1.5,FALSE,8,,,167,80
EE,EE 292I,SEM,1,1.5,FALSE,57,,,168,80
EE,EE 292T,SEM,1,1.5,FALSE,4,,,169,80
EE,EE 303,LEC,2,1.5,FALSE,45,,,170,160
EE,EE 310,SEM,1,1.5,FALSE,10,,,171,80
EE,EE 311,LEC,2,1.5,FALSE,20,,,172,160
EE,EE 317,LEC,2,1.5,FALSE,11,,,173,160
EE,EE 323,LEC,2,2,FALSE,24,,,174,220
EE,EE 340,LEC,2,1.5,FALSE,14,,,175,160
EE,EE 348,LEC,2,1.5,FALSE,8,,,176,160
EE,EE 364B,LEC,2,1.5,FALSE,71,,,177,160
EE,EE 374,LEC,2,1.5,FALSE,13,,,178,160
EE,EE 380,COL,1,1.5,FALSE,21,,,179,80
EE,EE 382A,LEC,2,1.5,FALSE,21,,,180,160
EE,EE 382C,LEC,2,1.5,FALSE,22,,180,181,160
EE,EE 384S,LEC,2,1.5,FALSE,7,,,182,160
MS&E,HRP 201C,SEM,1,2,FALSE,11,,,183,110
MS&E,MED 215C,,1,2,FALSE,0,,,184,110
MS&E,MS&E 201,LEC,2,1.5,FALSE,7,,,185,160
MS&E,MS&E 211,LEC,2,1.5,FALSE,70,,,186,160
MS&E,MS&E 221,LEC,2,1.5,FALSE,158,,,187,160
MS&E,MS&E 223,LEC,3,1.5,FALSE,39,,,188,240
MS&E,MS&E 230,LEC,2,1.5,FALSE,26,,,189,160
MS&E,MS&E 240,LEC,2,2,FALSE,31,,,190,220
MS&E,MS&E 243,LEC,2,1.5,FALSE,8,,,191,160
MS&E,MS&E 245B,LEC,2,1.5,FALSE,46,,,192,160
MS&E,MS&E 250B,WKS,1,2,FALSE,6,,,193,110
MS&E,MS&E 254,LEC,1,3,FALSE,41,,,194,170
MS&E,MS&E 256,LEC,1,2,FALSE,20,,,195,110
MS&E,MS&E 256A,COL,1,2,FALSE,19,,,196,110
MS&E,MS&E 272,LEC,2,2,FALSE,7,,,197,220
MS&E,MS&E 274,LEC,2,1.5,FALSE,50,,,198,160
MS&E,MS&E 276,LEC,1,3,FALSE,56,,,199,170
MS&E,MS&E 277,WKS,1,3,FALSE,51,,199,200,170
MS&E,MS&E 280,LEC,2,2,FALSE,51,,,201,220
MS&E,MS&E 297,LEC,1,3,FALSE,33,,,202,170
MS&E,MS&E 321,LEC,3,1.5,FALSE,7,,,203,240
MS&E,MS&E 324,LEC,3,1.5,FALSE,6,,,204,240
MS&E,MS&E 338,LEC,3,2,FALSE,21,,,205,330
MS&E,MS&E 350,WKS,1,3,FALSE,3,,,206,170
MS&E,MS&E 370,RES,1,3,FALSE,6,,,207,170
MS&E,MS&E 394,LEC,2,1.5,FALSE,5,,,208,160
MS&E,MS&E 433,SEM,1,2,FALSE,14,,,209,110
MS&E,MS&E 441,,1,1.5,FALSE,0,,,210,80
MS&E,MS&E 448,WKS,1,3,FALSE,28,,,211,170
