dept,courseNumber,courseType,numberOfMeetings,meetingLengthHours,isTba,numberEnrolled,cantOverlap,shouldntOverlap,dataNumber
AA,AA 203,LEC,2,1.5,False,103,,,1
AA,AA 204,LEC,2,1.5,False,31,,,2
AA,AA 218,LEC,2,1.5,False,18,,2,3
AA,AA 222,LEC,2,1.5,False,83,,,4
AA,AA 252,LEC,1,3,False,43,,,5
AA,AA 257,LEC,2,1.5,False,4,,,6
AA,AA 273,LEC,2,1.5,False,74,,1,7
AA,AA 279B,LEC,2,1.5,False,23,,9,8
AA,AA 279D,LEC,3,1.5,False,14,,,9
AA,AA 294,COL,1,1.5,False,21,,,10
BIOE,BIOE 212,LEC,2,1.5,False,2,,,11
BIOE,BIOE 256,LEC,1,2,False,20,,,12
BIOE,BIOE 301C,LEC,1,2,False,21,,,13
BIOE,BIOE 301C,LBS,2,2,False,16,13,,14
BIOE,BIOE 313,LEC,2,1.5,False,2,,,15
BIOE,BIOE 355,LEC,2,1.5,False,7,,,16
BIOE,BIOE 374B,LEC,1,2,False,10,,,17
BIOE,BIOE 374B,LEC,1,2,False,10,17,,18
BIOE,BIOE 450,LEC,2,1.5,False,48,,,19
BIOE,BIOE 459,LEC,2,1,False,10,,,20
BIOE,BIOE 485,LEC,2,1.5,False,7,,,21
CHEMENG,CHEMENG 260,LEC,3,1,False,16,,,22
CHEMENG,CHEMENG 320,LEC,2,1.5,False,27,,,23
CHEMENG,CHEMENG 355,LEC,2,1.5,False,26,,,24
CHEMENG,CHEMENG 355,DIS,1,1.5,False,17,24,,25
CHEMENG,CHEMENG 450,LEC,2,1.5,False,16,,,26
CHEMENG,CHEMENG 459,LEC,2,1,False,3,,,27
CHEMENG,CHEMENG 699,COL,1,2,False,14,,,28
CME,CME 206,LEC,2,1.5,False,26,,,29
CME,CME 216,LEC,3,1.5,False,22,,,30
CME,CME 250,WKS,2,1.5,False,33,,,31
CME,CME 251,LEC,2,1.5,False,1,,31,32
CME,CME 298,LEC,2,1.5,False,13,,,33
CME,CME 306,LEC,2,1.5,False,23,,,34
CME,CME 308,LEC,3,1.5,False,67,,34,35
CME,CME 323,LEC,2,1.5,False,24,,,36
CME,CME 364B,LEC,2,1.5,False,11,,1,37
CEE,CEE 207A,LEC,3,1.5,False,28,,,38
CEE,CEE 214,LEC,2,1.5,False,6,,,39
CEE,CEE 222B,LEC,1,3,False,6,,,40
CEE,CEE 222B,LEC,1,1,False,6,40,,41
CEE,CEE 223,LEC,2,1.5,False,19,,,42
CEE,CEE 226E,LEC,2,1.5,False,12,,,43
CEE,CEE 237B,,2,3,False,0,,,44
CEE,CEE 241C,SEM,1,2,False,63,,,45
CEE,CEE 246,LEC,1,3,False,33,,,46
CEE,CEE 246B,LEC,2,1.5,False,46,,,47
CEE,CEE 246S,SEM,1,1.5,False,8,46,47,48
CEE,CEE 248,LEC,1,2,False,23,,,49
CEE,CEE 257,SEM,1,1.5,False,35,,,50
CEE,CEE 260D,LEC,2,1.5,False,14,,,51
CEE,CEE 262E,LEC,3,1.5,False,45,,,52
CEE,CEE 262G,LEC,2,2,False,7,,,53
CEE,CEE 262H,LEC,2,2,False,6,,,54
CEE,CEE 263S,SEM,1,1.5,False,13,,,55
CEE,CEE 265H,LEC,2,1.5,False,5,,,56
CEE,CEE 266C,LEC,2,1.5,False,34,,,57
CEE,CEE 269C,SEM,1,1,False,35,,,58
CEE,CEE 272R,LEC,2,2,False,27,,,59
CEE,CEE 272T,SEM,1,1.5,False,6,,,60
CEE,CEE 273B,LEC,1,2,False,27,,,61
CEE,CEE 273M,LEC,1,3,False,11,,,62
CEE,CEE 274D,LEC,2,1.5,False,25,,,63
CEE,CEE 276B,LEC,2,1.5,False,17,,,64
